What is the bride's favorite color?	Red	Blue	Green	Yellow	1
Where did the couple first meet?	University	Coffee Shop	Park	Library	2
What year did they start dating?	2020	2019	2021	2018	1
What is the groom's favorite hobby?	Reading	Swimming	Cooking	Photography	3
Where did the proposal take place?	Beach	Mountain	Restaurant	Home	2
What is their favorite cuisine?	Italian	Japanese	Mexican	Thai	1
How many years have they been together?	4 years	3 years	5 years	2 years	1
What is the bride's profession?	Teacher	Doctor	Engineer	Designer	3
What is the groom's profession?	Software Developer	Lawyer	Accountant	Consultant	1
What is their favorite travel destination?	Paris	Tokyo	Bali	New York	3

